fecha,plato,porciones_vendidas,hora_servicio,dia_semana,es_fin_semana,condicion_climatica,evento_local,tipo_promocion,mes,trimestre
2024-03-12,Ranga Ranga,37,19,Martes,0,Soleado,Ninguno,Ninguna,3,1
2024-03-13,Ranga Ranga,29,18,Miércoles,0,Soleado,Ninguno,Ninguna,3,1
2024-03-14,Ranga Ranga,33,18,Jueves,0,Soleado,Ninguno,Ninguna,3,1
2024-03-15,Ranga Ranga,53,19,Viernes,1,Nublado,Ninguno,Ninguna,3,1
2024-03-16,Ranga Ranga,54,22,Sábado,1,Soleado,Ninguno,2x1,3,1
2024-03-17,Ranga Ranga,51,20,Domingo,1,Soleado,Ninguno,Ninguna,3,1
2024-03-18,Ranga Ranga,34,20,Lunes,0,Soleado,Ninguno,Ninguna,3,1
2024-03-19,Ranga Ranga,32,16,Martes,0,Nublado,Ninguno,Ninguna,3,1
2024-03-20,Ranga Ranga,28,19,Miércoles,0,Soleado,Ninguno,Ninguna,3,1
2024-03-21,Ranga Ranga,28,16,Jueves,0,Soleado,Ninguno,Ninguna,3,1
2024-03-22,Ranga Ranga,62,17,Viernes,1,Nublado,Fiesta,Ninguna,3,1
2024-03-23,Ranga Ranga,52,19,Sábado,1,Soleado,Ninguno,Ninguna,3,1
2024-03-24,Ranga Ranga,50,19,Domingo,1,Soleado,Ninguno,Ninguna,3,1
2024-03-25,Ranga Ranga,25,19,Lunes,0,Nublado,Ninguno,Ninguna,3,1
2024-03-26,Ranga Ranga,30,21,Martes,0,Soleado,Ninguno,Ninguna,3,1
2024-03-27,Ranga Ranga,30,16,Miércoles,0,Nublado,Ninguno,Ninguna,3,1
2024-03-28,Ranga Ranga,22,23,Jueves,0,Soleado,Ninguno,Ninguna,3,1
2024-03-29,Ranga Ranga,65,19,Viernes,1,Soleado,Ninguno,2x1,3,1
2024-03-30,Ranga Ranga,51,20,Sábado,1,Nublado,Ninguno,Ninguna,3,1
2024-03-31,Ranga Ranga,73,18,Domingo,1,Soleado,Ninguno,Descuento,3,1
2024-04-01,Ranga Ranga,29,19,Lunes,0,Soleado,Ninguno,Ninguna,4,2
2024-04-02,Ranga Ranga,33,18,Martes,0,Soleado,Ninguno,Ninguna,4,2
2024-04-03,Ranga Ranga,40,22,Miércoles,0,Nublado,Ninguno,Ninguna,4,2
2024-04-04,Ranga Ranga,26,22,Jueves,0,Nublado,Ninguno,Ninguna,4,2
2024-04-05,Ranga Ranga,69,20,Viernes,1,Nublado,Feriado,Ninguna,4,2
2024-04-06,Ranga Ranga,48,21,Sábado,1,Soleado,Ninguno,Ninguna,4,2
2024-04-07,Ranga Ranga,67,18,Domingo,1,Soleado,Festival,Ninguna,4,2
2024-04-08,Ranga Ranga,38,22,Lunes,0,Soleado,Ninguno,Ninguna,4,2
2024-04-09,Ranga Ranga,33,17,Martes,0,Nublado,Ninguno,Ninguna,4,2
2024-04-10,Ranga Ranga,43,19,Miércoles,0,Lluvioso,Ninguno,Ninguna,4,2
2024-04-11,Ranga Ranga,38,20,Jueves,0,Soleado,Ninguno,Ninguna,4,2
2024-04-12,Ranga Ranga,55,19,Viernes,1,Soleado,Ninguno,Ninguna,4,2
2024-04-13,Ranga Ranga,62,20,Sábado,1,Soleado,Feriado,Ninguna,4,2
2024-04-14,Ranga Ranga,51,20,Domingo,1,Nublado,Ninguno,Ninguna,4,2
2024-04-15,Ranga Ranga,44,19,Lunes,0,Soleado,Fiesta,Ninguna,4,2
2024-04-16,Ranga Ranga,25,19,Martes,0,Nublado,Ninguno,Ninguna,4,2
2024-04-17,Ranga Ranga,38,20,Miércoles,0,Lluvioso,Ninguno,Ninguna,4,2
2024-04-18,Ranga Ranga,35,20,Jueves,0,Soleado,Festival,Ninguna,4,2
2024-04-19,Ranga Ranga,57,21,Viernes,1,Soleado,Ninguno,Ninguna,4,2
2024-04-20,Ranga Ranga,54,18,Sábado,1,Soleado,Ninguno,Ninguna,4,2
2024-04-21,Ranga Ranga,72,19,Domingo,1,Soleado,Fiesta,2x1,4,2
2024-04-22,Ranga Ranga,29,19,Lunes,0,Nublado,Ninguno,Ninguna,4,2
2024-04-23,Ranga Ranga,31,19,Martes,0,Nublado,Ninguno,Ninguna,4,2
2024-04-24,Ranga Ranga,43,19,Miércoles,0,Soleado,Ninguno,Menu del Dia,4,2
2024-04-25,Ranga Ranga,30,19,Jueves,0,Soleado,Ninguno,Ninguna,4,2
2024-04-26,Ranga Ranga,62,19,Viernes,1,Nublado,Feriado,Ninguna,4,2
2024-04-27,Ranga Ranga,55,18,Sábado,1,Soleado,Ninguno,Ninguna,4,2
2024-04-28,Ranga Ranga,57,18,Domingo,1,Soleado,Ninguno,2x1,4,2
2024-04-29,Ranga Ranga,33,19,Lunes,0,Soleado,Ninguno,Ninguna,4,2
2024-04-30,Ranga Ranga,38,19,Martes,0,Soleado,Ninguno,Ninguna,4,2
2024-05-01,Ranga Ranga,59,18,Miércoles,0,Soleado,Ninguno,Ninguna,5,2
2024-05-02,Ranga Ranga,49,21,Jueves,0,Soleado,Ninguno,Ninguna,5,2
2024-05-03,Ranga Ranga,72,16,Viernes,1,Soleado,Ninguno,2x1,5,2
2024-05-04,Ranga Ranga,68,23,Sábado,1,Soleado,Ninguno,Ninguna,5,2
2024-05-05,Ranga Ranga,65,17,Domingo,1,Nublado,Ninguno,Ninguna,5,2
2024-05-06,Ranga Ranga,43,20,Lunes,0,Nublado,Ninguno,Ninguna,5,2
2024-05-07,Ranga Ranga,53,19,Martes,0,Soleado,Ninguno,Ninguna,5,2
2024-05-08,Ranga Ranga,53,17,Miércoles,0,Soleado,Ninguno,Ninguna,5,2
2024-05-09,Ranga Ranga,56,19,Jueves,0,Soleado,Ninguno,Descuento,5,2
2024-05-10,Ranga Ranga,67,17,Viernes,1,Soleado,Ninguno,Ninguna,5,2
2024-05-11,Ranga Ranga,70,20,Sábado,1,Soleado,Ninguno,Ninguna,5,2
2024-05-12,Ranga Ranga,67,22,Domingo,1,Nublado,Ninguno,Ninguna,5,2
2024-05-13,Ranga Ranga,63,22,Lunes,0,Lluvioso,Ninguno,Ninguna,5,2
2024-05-14,Ranga Ranga,77,21,Martes,0,Nublado,Festival,2x1,5,2
2024-05-15,Ranga Ranga,53,22,Miércoles,0,Soleado,Ninguno,Ninguna,5,2
2024-05-16,Ranga Ranga,58,21,Jueves,0,Soleado,Ninguno,Ninguna,5,2
2024-05-17,Ranga Ranga,68,19,Viernes,1,Nublado,Ninguno,Ninguna,5,2
2024-05-18,Ranga Ranga,60,18,Sábado,1,Soleado,Ninguno,Ninguna,5,2
2024-05-19,Ranga Ranga,75,21,Domingo,1,Nublado,Ninguno,Ninguna,5,2
2024-05-20,Ranga Ranga,55,17,Lunes,0,Soleado,Ninguno,Ninguna,5,2
2024-05-21,Ranga Ranga,53,20,Martes,0,Soleado,Ninguno,Ninguna,5,2
2024-05-22,Ranga Ranga,60,19,Miércoles,0,Soleado,Ninguno,Ninguna,5,2
2024-05-23,Ranga Ranga,47,20,Jueves,0,Soleado,Ninguno,Ninguna,5,2
2024-05-24,Ranga Ranga,72,21,Viernes,1,Soleado,Ninguno,Ninguna,5,2
2024-05-25,Ranga Ranga,82,19,Sábado,1,Lluvioso,Ninguno,Ninguna,5,2
2024-05-26,Ranga Ranga,73,19,Domingo,1,Soleado,Ninguno,Ninguna,5,2
2024-05-27,Ranga Ranga,47,15,Lunes,0,Soleado,Ninguno,Ninguna,5,2
2024-05-28,Ranga Ranga,48,17,Martes,0,Nublado,Ninguno,Ninguna,5,2
2024-05-29,Ranga Ranga,48,18,Miércoles,0,Nublado,Ninguno,Ninguna,5,2
2024-05-30,Ranga Ranga,53,20,Jueves,0,Nublado,Ninguno,Ninguna,5,2
2024-05-31,Ranga Ranga,67,22,Viernes,1,Soleado,Ninguno,Ninguna,5,2
2024-06-01,Ranga Ranga,68,22,Sábado,1,Soleado,Ninguno,Ninguna,6,2
2024-06-02,Ranga Ranga,70,15,Domingo,1,Soleado,Ninguno,Ninguna,6,2
2024-06-03,Ranga Ranga,48,19,Lunes,0,Soleado,Ninguno,Ninguna,6,2
2024-06-04,Ranga Ranga,54,21,Martes,0,Lluvioso,Ninguno,Ninguna,6,2
2024-06-05,Ranga Ranga,47,19,Miércoles,0,Soleado,Ninguno,Ninguna,6,2
2024-06-06,Ranga Ranga,44,20,Jueves,0,Nublado,Ninguno,Ninguna,6,2
2024-06-07,Ranga Ranga,74,19,Viernes,1,Soleado,Ninguno,Ninguna,6,2
2024-06-08,Ranga Ranga,65,20,Sábado,1,Soleado,Ninguno,Ninguna,6,2
2024-06-09,Ranga Ranga,76,20,Domingo,1,Soleado,Ninguno,Menu del Dia,6,2
2024-06-10,Ranga Ranga,58,19,Lunes,0,Soleado,Fiesta,Ninguna,6,2
2024-06-11,Ranga Ranga,61,18,Martes,0,Soleado,Ninguno,Ninguna,6,2
2024-06-12,Ranga Ranga,51,20,Miércoles,0,Soleado,Ninguno,Ninguna,6,2
2024-06-13,Ranga Ranga,44,16,Jueves,0,Nublado,Ninguno,Ninguna,6,2
2024-06-14,Ranga Ranga,66,17,Viernes,1,Nublado,Ninguno,Ninguna,6,2
2024-06-15,Ranga Ranga,71,18,Sábado,1,Nublado,Ninguno,Ninguna,6,2
2024-06-16,Ranga Ranga,85,18,Domingo,1,Nublado,Ninguno,2x1,6,2
2024-06-17,Ranga Ranga,49,19,Lunes,0,Nublado,Ninguno,Ninguna,6,2
2024-06-18,Ranga Ranga,58,19,Martes,0,Lluvioso,Ninguno,Ninguna,6,2
2024-06-19,Ranga Ranga,45,20,Miércoles,0,Soleado,Ninguno,Ninguna,6,2
2024-06-20,Ranga Ranga,49,20,Jueves,0,Soleado,Ninguno,Ninguna,6,2
2024-06-21,Ranga Ranga,70,16,Viernes,1,Nublado,Ninguno,Ninguna,6,2
2024-06-22,Ranga Ranga,75,17,Sábado,1,Soleado,Ninguno,Ninguna,6,2
2024-06-23,Ranga Ranga,66,20,Domingo,1,Soleado,Ninguno,Ninguna,6,2
2024-06-24,Ranga Ranga,54,19,Lunes,0,Soleado,Ninguno,Ninguna,6,2
2024-06-25,Ranga Ranga,51,16,Martes,0,Nublado,Ninguno,Ninguna,6,2
2024-06-26,Ranga Ranga,50,20,Miércoles,0,Nublado,Ninguno,Ninguna,6,2
2024-06-27,Ranga Ranga,43,19,Jueves,0,Nublado,Ninguno,Ninguna,6,2
2024-06-28,Ranga Ranga,69,23,Viernes,1,Soleado,Ninguno,Ninguna,6,2
2024-06-29,Ranga Ranga,64,19,Sábado,1,Soleado,Ninguno,Ninguna,6,2
2024-06-30,Ranga Ranga,64,16,Domingo,1,Nublado,Ninguno,Ninguna,6,2
2024-07-01,Ranga Ranga,54,16,Lunes,0,Soleado,Feriado,Ninguna,7,3
2024-07-02,Ranga Ranga,62,19,Martes,0,Lluvioso,Ninguno,Ninguna,7,3
2024-07-03,Ranga Ranga,54,20,Miércoles,0,Soleado,Ninguno,Ninguna,7,3
2024-07-04,Ranga Ranga,54,19,Jueves,0,Nublado,Ninguno,Ninguna,7,3
2024-07-05,Ranga Ranga,73,15,Viernes,1,Soleado,Ninguno,Ninguna,7,3
2024-07-06,Ranga Ranga,70,23,Sábado,1,Nublado,Ninguno,Ninguna,7,3
2024-07-07,Ranga Ranga,74,21,Domingo,1,Lluvioso,Ninguno,Ninguna,7,3
2024-07-08,Ranga Ranga,55,17,Lunes,0,Soleado,Ninguno,Ninguna,7,3
2024-07-09,Ranga Ranga,50,18,Martes,0,Soleado,Ninguno,Ninguna,7,3
2024-07-10,Ranga Ranga,52,20,Miércoles,0,Soleado,Ninguno,Ninguna,7,3
2024-07-11,Ranga Ranga,54,20,Jueves,0,Nublado,Ninguno,Ninguna,7,3
2024-07-12,Ranga Ranga,76,19,Viernes,1,Lluvioso,Ninguno,Ninguna,7,3
2024-07-13,Ranga Ranga,63,20,Sábado,1,Soleado,Ninguno,Ninguna,7,3
2024-07-14,Ranga Ranga,63,18,Domingo,1,Soleado,Ninguno,Ninguna,7,3
2024-07-15,Ranga Ranga,63,17,Lunes,0,Soleado,Ninguno,2x1,7,3
2024-07-16,Ranga Ranga,54,19,Martes,0,Lluvioso,Ninguno,Ninguna,7,3
2024-07-17,Ranga Ranga,57,19,Miércoles,0,Lluvioso,Ninguno,Ninguna,7,3
2024-07-18,Ranga Ranga,51,17,Jueves,0,Nublado,Ninguno,Ninguna,7,3
2024-07-19,Ranga Ranga,80,16,Viernes,1,Soleado,Ninguno,Descuento,7,3
2024-07-20,Ranga Ranga,81,0,Sábado,1,Lluvioso,Ninguno,Ninguna,7,3
2024-07-21,Ranga Ranga,66,21,Domingo,1,Soleado,Ninguno,Ninguna,7,3
2024-07-22,Ranga Ranga,53,19,Lunes,0,Soleado,Ninguno,Ninguna,7,3
2024-07-23,Ranga Ranga,61,15,Martes,0,Soleado,Festival,Ninguna,7,3
2024-07-24,Ranga Ranga,54,19,Miércoles,0,Nublado,Feriado,Ninguna,7,3
2024-07-25,Ranga Ranga,55,19,Jueves,0,Soleado,Ninguno,Ninguna,7,3
2024-07-26,Ranga Ranga,66,16,Viernes,1,Soleado,Ninguno,Ninguna,7,3
2024-07-27,Ranga Ranga,75,18,Sábado,1,Nublado,Ninguno,Ninguna,7,3
2024-07-28,Ranga Ranga,71,21,Domingo,1,Nublado,Ninguno,Ninguna,7,3
2024-07-29,Ranga Ranga,53,21,Lunes,0,Nublado,Ninguno,Ninguna,7,3
2024-07-30,Ranga Ranga,54,20,Martes,0,Nublado,Ninguno,Ninguna,7,3
2024-07-31,Ranga Ranga,50,20,Miércoles,0,Soleado,Ninguno,Ninguna,7,3
2024-08-01,Ranga Ranga,48,19,Jueves,0,Soleado,Ninguno,Ninguna,8,3
2024-08-02,Ranga Ranga,70,18,Viernes,1,Soleado,Ninguno,Ninguna,8,3
2024-08-03,Ranga Ranga,70,17,Sábado,1,Nublado,Ninguno,Ninguna,8,3
2024-08-04,Ranga Ranga,75,22,Domingo,1,Nublado,Ninguno,Ninguna,8,3
2024-08-05,Ranga Ranga,45,16,Lunes,0,Soleado,Ninguno,Ninguna,8,3
2024-08-06,Ranga Ranga,61,16,Martes,0,Soleado,Ninguno,Descuento,8,3
2024-08-07,Ranga Ranga,51,19,Miércoles,0,Nublado,Ninguno,Ninguna,8,3
2024-08-08,Ranga Ranga,56,18,Jueves,0,Nublado,Ninguno,Ninguna,8,3
2024-08-09,Ranga Ranga,68,22,Viernes,1,Soleado,Ninguno,Ninguna,8,3
2024-08-10,Ranga Ranga,68,21,Sábado,1,Soleado,Ninguno,Ninguna,8,3
2024-08-11,Ranga Ranga,86,23,Domingo,1,Nublado,Ninguno,Menu del Dia,8,3
2024-08-12,Ranga Ranga,59,19,Lunes,0,Soleado,Ninguno,Ninguna,8,3
2024-08-13,Ranga Ranga,47,21,Martes,0,Soleado,Ninguno,Ninguna,8,3
2024-08-14,Ranga Ranga,66,19,Miércoles,0,Soleado,Ninguno,2x1,8,3
2024-08-15,Ranga Ranga,59,16,Jueves,0,Soleado,Ninguno,Ninguna,8,3
2024-08-16,Ranga Ranga,72,23,Viernes,1,Soleado,Ninguno,Ninguna,8,3
2024-08-17,Ranga Ranga,82,17,Sábado,1,Soleado,Ninguno,Menu del Dia,8,3
2024-08-18,Ranga Ranga,67,19,Domingo,1,Nublado,Ninguno,Ninguna,8,3
2024-08-19,Ranga Ranga,51,19,Lunes,0,Soleado,Ninguno,Ninguna,8,3
2024-08-20,Ranga Ranga,55,20,Martes,0,Soleado,Fiesta,Ninguna,8,3
2024-08-21,Ranga Ranga,67,20,Miércoles,0,Nublado,Ninguno,Descuento,8,3
2024-08-22,Ranga Ranga,51,18,Jueves,0,Soleado,Ninguno,Ninguna,8,3
2024-08-23,Ranga Ranga,69,16,Viernes,1,Soleado,Ninguno,Ninguna,8,3
2024-08-24,Ranga Ranga,82,17,Sábado,1,Soleado,Ninguno,2x1,8,3
2024-08-25,Ranga Ranga,67,18,Domingo,1,Soleado,Ninguno,Ninguna,8,3
2024-08-26,Ranga Ranga,59,21,Lunes,0,Soleado,Ninguno,Ninguna,8,3
2024-08-27,Ranga Ranga,53,21,Martes,0,Nublado,Ninguno,Ninguna,8,3
2024-08-28,Ranga Ranga,51,20,Miércoles,0,Soleado,Ninguno,Ninguna,8,3
2024-08-29,Ranga Ranga,70,19,Jueves,0,Soleado,Ninguno,Descuento,8,3
2024-08-30,Ranga Ranga,69,20,Viernes,1,Nublado,Ninguno,Ninguna,8,3
2024-08-31,Ranga Ranga,74,15,Sábado,1,Nublado,Ninguno,Descuento,8,3
2024-09-01,Ranga Ranga,67,19,Domingo,1,Nublado,Ninguno,Ninguna,9,3
2024-09-02,Ranga Ranga,51,21,Lunes,0,Soleado,Ninguno,Ninguna,9,3
2024-09-03,Ranga Ranga,53,20,Martes,0,Soleado,Ninguno,Ninguna,9,3
2024-09-04,Ranga Ranga,56,19,Miércoles,0,Nublado,Ninguno,Ninguna,9,3
2024-09-05,Ranga Ranga,55,19,Jueves,0,Soleado,Fiesta,Ninguna,9,3
2024-09-06,Ranga Ranga,74,20,Viernes,1,Lluvioso,Ninguno,Ninguna,9,3
2024-09-07,Ranga Ranga,72,19,Sábado,1,Nublado,Ninguno,Ninguna,9,3
2024-09-08,Ranga Ranga,69,19,Domingo,1,Soleado,Ninguno,Ninguna,9,3
2024-09-09,Ranga Ranga,53,18,Lunes,0,Soleado,Ninguno,Ninguna,9,3
2024-09-10,Ranga Ranga,51,17,Martes,0,Nublado,Ninguno,Ninguna,9,3
2024-09-11,Ranga Ranga,49,21,Miércoles,0,Lluvioso,Ninguno,Ninguna,9,3
2024-09-12,Ranga Ranga,53,20,Jueves,0,Soleado,Ninguno,Ninguna,9,3
2024-09-13,Ranga Ranga,85,20,Viernes,1,Soleado,Ninguno,2x1,9,3
2024-09-14,Ranga Ranga,61,19,Sábado,1,Nublado,Ninguno,Ninguna,9,3
2024-09-15,Ranga Ranga,88,17,Domingo,1,Soleado,Fiesta,Menu del Dia,9,3
2024-09-16,Ranga Ranga,54,20,Lunes,0,Soleado,Ninguno,Ninguna,9,3
2024-09-17,Ranga Ranga,52,18,Martes,0,Soleado,Ninguno,Ninguna,9,3
2024-09-18,Ranga Ranga,53,17,Miércoles,0,Soleado,Ninguno,Ninguna,9,3
2024-09-19,Ranga Ranga,49,17,Jueves,0,Soleado,Ninguno,Ninguna,9,3
2024-09-20,Ranga Ranga,73,23,Viernes,1,Nublado,Ninguno,Ninguna,9,3
2024-09-21,Ranga Ranga,70,18,Sábado,1,Soleado,Ninguno,Ninguna,9,3
2024-09-22,Ranga Ranga,70,17,Domingo,1,Nublado,Ninguno,Ninguna,9,3
2024-09-23,Ranga Ranga,55,18,Lunes,0,Nublado,Ninguno,Ninguna,9,3
2024-09-24,Ranga Ranga,59,21,Martes,0,Soleado,Ninguno,Ninguna,9,3
2024-09-25,Ranga Ranga,73,19,Miércoles,0,Lluvioso,Ninguno,Menu del Dia,9,3
2024-09-26,Ranga Ranga,53,20,Jueves,0,Soleado,Ninguno,Ninguna,9,3
2024-09-27,Ranga Ranga,71,15,Viernes,1,Nublado,Ninguno,Ninguna,9,3
2024-09-28,Ranga Ranga,66,20,Sábado,1,Soleado,Ninguno,Ninguna,9,3
2024-09-29,Ranga Ranga,65,16,Domingo,1,Soleado,Ninguno,Ninguna,9,3
2024-09-30,Ranga Ranga,49,19,Lunes,0,Nublado,Ninguno,Ninguna,9,3
2024-10-01,Ranga Ranga,50,18,Martes,0,Soleado,Ninguno,Ninguna,10,4
2024-10-02,Ranga Ranga,52,19,Miércoles,0,Soleado,Ninguno,Ninguna,10,4
2024-10-03,Ranga Ranga,51,22,Jueves,0,Nublado,Ninguno,Ninguna,10,4
2024-10-04,Ranga Ranga,72,17,Viernes,1,Soleado,Ninguno,Ninguna,10,4
2024-10-05,Ranga Ranga,75,19,Sábado,1,Soleado,Ninguno,Ninguna,10,4
2024-10-06,Ranga Ranga,68,18,Domingo,1,Soleado,Ninguno,Ninguna,10,4
2024-10-07,Ranga Ranga,48,19,Lunes,0,Soleado,Ninguno,Ninguna,10,4
2024-10-08,Ranga Ranga,54,18,Martes,0,Nublado,Ninguno,Ninguna,10,4
2024-10-09,Ranga Ranga,56,20,Miércoles,0,Lluvioso,Ninguno,Ninguna,10,4
2024-10-10,Ranga Ranga,58,21,Jueves,0,Lluvioso,Ninguno,Ninguna,10,4
2024-10-11,Ranga Ranga,76,22,Viernes,1,Soleado,Ninguno,Ninguna,10,4
2024-10-12,Ranga Ranga,70,18,Sábado,1,Soleado,Ninguno,Ninguna,10,4
2024-10-13,Ranga Ranga,72,19,Domingo,1,Nublado,Ninguno,Ninguna,10,4
2024-10-14,Ranga Ranga,49,21,Lunes,0,Soleado,Ninguno,Ninguna,10,4
